image_id,image_url,label,label_numeric,category,gender,age_group,source,fake_method,image_quality,resolution,confidence_score,detection_difficulty,dataset_split,date_collected,version,year,file_path
234,https://images.unsplash.com/photo-1600938401217-6bbe7ff6641e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyNjR8fGh1bWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NDg3MHww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,18-25,Unsplash,,Medium,1080x1080,0.95,Easy,train,2026-04-22,v2.0,2026,images/234.jpg
2307,https://images.unsplash.com/photo-1755098452457-e7040b91860c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw4N3x8YWR1bHQlMjBmYWNlJTIwcGhvdG98ZW58MHx8fHwxNzc4MDY4ODM1fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,Medium,1080x1080,0.91,Easy,train,2026-04-14,v2.0,2026,images/2307.jpg
3407,https://api.dicebear.com/7.x/personas/jpg?seed=user349&size=300,FAKE,0,AI Generated,Unknown,26-35,MultiSource,StyleGAN3,Medium,1024x1024,0.93,Hard,train,2026-03-23,v2.0,2026,images/3407.jpg
684,https://images.unsplash.com/photo-1566837180312-3113a1ca8e17?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxNDR8fG1hbiUyMGZhY2UlMjBjbG9zZXVwfGVufDB8fHx8MTc3ODA2NTA4N3ww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,50+,Unsplash,,High,1080x1080,0.89,Easy,val,2026-03-01,v2.0,2026,images/684.jpg
512,https://images.unsplash.com/photo-1746116572124-43b10c20df90?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1NDJ8fGh1bWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NTA1NXww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,18-25,Unsplash,,High,1080x1080,0.89,Easy,train,2026-01-30,v2.0,2026,images/512.jpg
2707,https://images.unsplash.com/photo-1709621404595-9b3dda23b728?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0ODd8fGFkdWx0JTIwZmFjZSUyMHBob3RvfGVufDB8fHx8MTc3ODA2ODg3MXww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,50+,Unsplash,,High,1080x1080,0.86,Easy,train,2026-02-04,v2.0,2026,images/2707.jpg
812,https://images.unsplash.com/photo-1754304966901-98004688fb05?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzMDJ8fG1hbiUyMGZhY2UlMjBjbG9zZXVwfGVufDB8fHx8MTc3ODA2NTIxOHww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,36-50,Unsplash,,High,1080x1080,0.96,Easy,train,2026-03-30,v2.0,2026,images/812.jpg
3264,https://api.dicebear.com/7.x/personas/jpg?seed=user206&size=300,FAKE,0,AI Generated,Unknown,36-50,MultiSource,StyleGAN3,Medium,1024x1024,0.96,Hard,train,2026-03-31,v2.0,2026,images/3264.jpg
550,https://images.unsplash.com/photo-1602697579058-cb09b4cc9a6e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxMHx8bWFuJTIwZmFjZSUyMGNsb3NldXB8ZW58MHx8fHwxNzc4MDY1MDYzfDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,Medium,1080x1080,0.96,Easy,train,2026-04-20,v2.0,2026,images/550.jpg
5495,https://api.dicebear.com/7.x/personas/jpg?seed=user2437&size=300,FAKE,0,AI Generated,Unknown,26-35,MultiSource,StyleGAN3,High,1024x1024,0.89,Hard,train,2026-04-29,v2.0,2026,images/5495.jpg
133,https://images.unsplash.com/photo-1686464905831-4474889501f3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxMzN8fGh1bWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NDcyNXww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,18-25,Unsplash,,High,1080x1080,0.94,Easy,train,2026-02-25,v2.0,2026,images/133.jpg
3797,https://api.dicebear.com/7.x/personas/jpg?seed=user739&size=300,FAKE,0,AI Generated,Unknown,26-35,MultiSource,StyleGAN3,Medium,1024x1024,0.87,Medium,train,2026-01-30,v2.0,2026,images/3797.jpg
4558,https://api.dicebear.com/7.x/personas/jpg?seed=user1500&size=300,FAKE,0,AI Generated,Unknown,36-50,MultiSource,StyleGAN3,High,1024x1024,0.81,Hard,val,2026-03-30,v2.0,2026,images/4558.jpg
3586,https://api.dicebear.com/7.x/personas/jpg?seed=user528&size=300,FAKE,0,AI Generated,Unknown,26-35,MultiSource,StyleGAN3,High,1024x1024,0.89,Hard,train,2026-01-14,v2.0,2026,images/3586.jpg
3280,https://api.dicebear.com/7.x/personas/jpg?seed=user222&size=300,FAKE,0,AI Generated,Unknown,50+,MultiSource,StyleGAN3,High,1024x1024,0.83,Medium,train,2026-03-26,v2.0,2026,images/3280.jpg
4790,https://api.dicebear.com/7.x/personas/jpg?seed=user1732&size=300,FAKE,0,AI Generated,Unknown,18-25,MultiSource,StyleGAN3,Medium,1024x1024,0.81,Hard,train,2026-04-17,v2.0,2026,images/4790.jpg
5440,https://api.dicebear.com/7.x/personas/jpg?seed=user2382&size=300,FAKE,0,AI Generated,Unknown,36-50,MultiSource,StyleGAN3,High,1024x1024,0.96,Hard,test,2026-03-24,v2.0,2026,images/5440.jpg
2852,https://randomuser.me/api/portraits/men/62.jpg,FAKE,0,AI Generated,Male,18-25,MultiSource,StyleGAN3,High,1024x1024,0.83,Hard,train,2026-04-04,v2.0,2026,images/2852.jpg
2458,https://images.unsplash.com/photo-1523901056858-1b233826cb15?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyMzh8fGFkdWx0JTIwZmFjZSUyMHBob3RvfGVufDB8fHx8MTc3ODA2ODg0Nnww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,36-50,Unsplash,,High,1080x1080,0.89,Easy,test,2026-03-07,v2.0,2026,images/2458.jpg
1372,https://images.unsplash.com/photo-1634149136599-fb13903c9117?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyOTJ8fHdvbWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NTI1OXww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,36-50,Unsplash,,High,1080x1080,0.95,Easy,train,2026-01-09,v2.0,2026,images/1372.jpg
764,https://images.unsplash.com/photo-1603297430243-9acf4f078372?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyNTR8fG1hbiUyMGZhY2UlMjBjbG9zZXVwfGVufDB8fHx8MTc3ODA2NTIxM3ww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,18-25,Unsplash,,High,1080x1080,0.97,Easy,train,2026-01-04,v2.0,2026,images/764.jpg
545,https://images.unsplash.com/photo-1746721931312-9a630c0bc00d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1fHxtYW4lMjBmYWNlJTIwY2xvc2V1cHxlbnwwfHx8fDE3NzgwNjUwNjN8MA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,26-35,Unsplash,,High,1080x1080,0.97,Easy,train,2026-04-28,v2.0,2026,images/545.jpg
1264,https://images.unsplash.com/photo-1633515104414-6d905d3c30e3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxODR8fHdvbWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NTI1M3ww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,18-25,Unsplash,,High,1080x1080,0.87,Easy,train,2026-01-21,v2.0,2026,images/1264.jpg
2645,https://images.unsplash.com/photo-1544221878-3173c853b28c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0MjV8fGFkdWx0JTIwZmFjZSUyMHBob3RvfGVufDB8fHx8MTc3ODA2ODg2NHww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,18-25,Unsplash,,High,1080x1080,0.93,Easy,test,2026-01-10,v2.0,2026,images/2645.jpg
325,https://images.unsplash.com/photo-1614477323662-66300f4e033c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzNTV8fGh1bWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NDk5MHww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,18-25,Unsplash,,High,1080x1080,0.89,Easy,train,2026-04-21,v2.0,2026,images/325.jpg
4473,https://api.dicebear.com/7.x/personas/jpg?seed=user1415&size=300,FAKE,0,AI Generated,Unknown,36-50,MultiSource,StyleGAN3,High,1024x1024,0.82,Medium,train,2026-03-31,v2.0,2026,images/4473.jpg
4029,https://api.dicebear.com/7.x/personas/jpg?seed=user971&size=300,FAKE,0,AI Generated,Unknown,26-35,MultiSource,StyleGAN3,High,1024x1024,0.92,Medium,test,2026-04-30,v2.0,2026,images/4029.jpg
3007,https://i.pravatar.cc/300?img=19,FAKE,0,AI Generated,Unknown,26-35,MultiSource,StyleGAN3,Medium,1024x1024,0.92,Hard,val,2026-01-10,v2.0,2026,images/3007.jpg
1236,https://images.unsplash.com/photo-1633355363477-f73992bcf418?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxNTZ8fHdvbWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NTI1MXww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,36-50,Unsplash,,High,1080x1080,0.93,Easy,train,2026-04-06,v2.0,2026,images/1236.jpg
3321,https://api.dicebear.com/7.x/personas/jpg?seed=user263&size=300,FAKE,0,AI Generated,Unknown,36-50,MultiSource,StyleGAN3,Medium,1024x1024,0.97,Medium,train,2026-04-29,v2.0,2026,images/3321.jpg
1216,https://images.unsplash.com/photo-1707379223324-a7f2e6455713?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxMzZ8fHdvbWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NTI0OHww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,26-35,Unsplash,,High,1080x1080,0.94,Easy,train,2026-04-30,v2.0,2026,images/1216.jpg
4694,https://api.dicebear.com/7.x/personas/jpg?seed=user1636&size=300,FAKE,0,AI Generated,Unknown,18-25,MultiSource,StyleGAN3,Medium,1024x1024,0.89,Hard,train,2026-01-05,v2.0,2026,images/4694.jpg
3479,https://api.dicebear.com/7.x/personas/jpg?seed=user421&size=300,FAKE,0,AI Generated,Unknown,26-35,MultiSource,StyleGAN3,High,1024x1024,0.95,Hard,train,2026-02-20,v2.0,2026,images/3479.jpg
2105,https://images.unsplash.com/photo-1635130881215-08a81b7c2e61?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0NTV8fHBlcnNvbiUyMGZhY2UlMjBwaG90b3xlbnwwfHx8fDE3NzgwNjUzMTB8MA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,High,1080x1080,0.9,Easy,train,2026-03-10,v2.0,2026,images/2105.jpg
5124,https://api.dicebear.com/7.x/personas/jpg?seed=user2066&size=300,FAKE,0,AI Generated,Unknown,50+,MultiSource,StyleGAN3,High,1024x1024,0.97,Medium,train,2026-04-14,v2.0,2026,images/5124.jpg
1040,https://images.unsplash.com/photo-1581518873005-89be78a8b673?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1MzB8fG1hbiUyMGZhY2UlMjBjbG9zZXVwfGVufDB8fHx8MTc3ODA2NTIzNHww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,26-35,Unsplash,,High,1080x1080,0.97,Easy,train,2026-01-30,v2.0,2026,images/1040.jpg
2478,https://images.unsplash.com/photo-1740801505683-9391efb89106?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyNTh8fGFkdWx0JTIwZmFjZSUyMHBob3RvfGVufDB8fHx8MTc3ODA2ODg0OXww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Unknown,50+,Unsplash,,Medium,1080x1080,0.88,Easy,val,2026-04-25,v2.0,2026,images/2478.jpg
1644,https://images.unsplash.com/photo-1671741940005-1200800ca5fd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1NjR8fHdvbWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NTI3Nnww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,50+,Unsplash,,Medium,1080x1080,0.94,Easy,train,2026-04-12,v2.0,2026,images/1644.jpg
5175,https://api.dicebear.com/7.x/personas/jpg?seed=user2117&size=300,FAKE,0,AI Generated,Unknown,18-25,MultiSource,StyleGAN3,Medium,1024x1024,0.95,Hard,train,2026-01-06,v2.0,2026,images/5175.jpg
4463,https://api.dicebear.com/7.x/personas/jpg?seed=user1405&size=300,FAKE,0,AI Generated,Unknown,50+,MultiSource,StyleGAN3,High,1024x1024,0.91,Medium,test,2026-04-17,v2.0,2026,images/4463.jpg
5275,https://api.dicebear.com/7.x/personas/jpg?seed=user2217&size=300,FAKE,0,AI Generated,Unknown,26-35,MultiSource,StyleGAN3,High,1024x1024,0.8,Hard,train,2026-03-06,v2.0,2026,images/5275.jpg
2143,https://images.unsplash.com/photo-1655368645558-93cf220eddd5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0OTN8fHBlcnNvbiUyMGZhY2UlMjBwaG90b3xlbnwwfHx8fDE3NzgwNjUzMTN8MA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,Medium,1080x1080,0.97,Easy,train,2026-02-27,v2.0,2026,images/2143.jpg
707,https://images.unsplash.com/photo-1571933939478-bb7af756a45c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxOTd8fG1hbiUyMGZhY2UlMjBjbG9zZXVwfGVufDB8fHx8MTc3ODA2NTIwOXww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,36-50,Unsplash,,Medium,1080x1080,0.97,Easy,train,2026-01-14,v2.0,2026,images/707.jpg
1510,https://images.unsplash.com/photo-1631361760077-687f32d930da?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0MzB8fHdvbWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NTI2OXww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,36-50,Unsplash,,High,1080x1080,0.99,Easy,test,2026-01-23,v2.0,2026,images/1510.jpg
5126,https://api.dicebear.com/7.x/personas/jpg?seed=user2068&size=300,FAKE,0,AI Generated,Unknown,36-50,MultiSource,StyleGAN3,High,1024x1024,0.89,Hard,test,2026-04-26,v2.0,2026,images/5126.jpg
335,https://images.unsplash.com/photo-1587366802383-2e3e3e07aaf5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzNjV8fGh1bWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NDk5N3ww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,50+,Unsplash,,High,1080x1080,0.94,Easy,train,2026-02-14,v2.0,2026,images/335.jpg
4254,https://api.dicebear.com/7.x/personas/jpg?seed=user1196&size=300,FAKE,0,AI Generated,Unknown,18-25,MultiSource,StyleGAN3,High,1024x1024,0.83,Hard,train,2026-02-26,v2.0,2026,images/4254.jpg
3383,https://api.dicebear.com/7.x/personas/jpg?seed=user325&size=300,FAKE,0,AI Generated,Unknown,50+,MultiSource,StyleGAN3,Medium,1024x1024,0.81,Medium,train,2026-01-10,v2.0,2026,images/3383.jpg
4939,https://api.dicebear.com/7.x/personas/jpg?seed=user1881&size=300,FAKE,0,AI Generated,Unknown,26-35,MultiSource,StyleGAN3,Medium,1024x1024,0.91,Medium,test,2026-01-28,v2.0,2026,images/4939.jpg
1363,https://images.unsplash.com/photo-1611086569404-6448e5e57acb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyODN8fHdvbWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NTI1OXww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,18-25,Unsplash,,High,1080x1080,0.97,Easy,train,2026-03-09,v2.0,2026,images/1363.jpg
3045,https://i.pravatar.cc/300?img=57,FAKE,0,AI Generated,Unknown,26-35,MultiSource,StyleGAN3,High,1024x1024,0.93,Hard,train,2026-02-01,v2.0,2026,images/3045.jpg
1913,https://images.unsplash.com/photo-1704286810508-cadbd7202bb0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyNjN8fHBlcnNvbiUyMGZhY2UlMjBwaG90b3xlbnwwfHx8fDE3NzgwNjUyOTV8MA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,26-35,Unsplash,,High,1080x1080,0.91,Easy,train,2026-02-18,v2.0,2026,images/1913.jpg
1023,https://images.unsplash.com/photo-1607592706726-d032acbd08cd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw1MTN8fG1hbiUyMGZhY2UlMjBjbG9zZXVwfGVufDB8fHx8MTc3ODA2NTIzNHww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,18-25,Unsplash,,Medium,1080x1080,0.97,Easy,train,2026-04-13,v2.0,2026,images/1023.jpg
4657,https://api.dicebear.com/7.x/personas/jpg?seed=user1599&size=300,FAKE,0,AI Generated,Unknown,18-25,MultiSource,StyleGAN3,Medium,1024x1024,0.95,Hard,train,2026-01-13,v2.0,2026,images/4657.jpg
1371,https://images.unsplash.com/photo-1559842376-c0eb5b516cfb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwyOTF8fHdvbWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NTI1OXww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,36-50,Unsplash,,High,1080x1080,0.94,Easy,train,2026-01-25,v2.0,2026,images/1371.jpg
3185,https://api.dicebear.com/7.x/personas/jpg?seed=user127&size=300,FAKE,0,AI Generated,Unknown,18-25,MultiSource,StyleGAN3,High,1024x1024,0.96,Hard,train,2026-03-23,v2.0,2026,images/3185.jpg
3919,https://api.dicebear.com/7.x/personas/jpg?seed=user861&size=300,FAKE,0,AI Generated,Unknown,18-25,MultiSource,StyleGAN3,Medium,1024x1024,0.97,Medium,train,2026-01-24,v2.0,2026,images/3919.jpg
2893,https://randomuser.me/api/portraits/women/4.jpg,FAKE,0,AI Generated,Female,36-50,MultiSource,StyleGAN3,High,1024x1024,0.83,Medium,test,2026-03-29,v2.0,2026,images/2893.jpg
394,https://images.unsplash.com/photo-1612191160114-d5778e665595?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHw0MjR8fGh1bWFuJTIwZmFjZSUyMHBvcnRyYWl0fGVufDB8fHx8MTc3ODA2NTAyMXww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Female,18-25,Unsplash,,High,1080x1080,0.97,Easy,train,2026-01-21,v2.0,2026,images/394.jpg
4995,https://api.dicebear.com/7.x/personas/jpg?seed=user1937&size=300,FAKE,0,AI Generated,Unknown,50+,MultiSource,StyleGAN3,High,1024x1024,0.88,Hard,test,2026-01-20,v2.0,2026,images/4995.jpg
2800,https://randomuser.me/api/portraits/men/10.jpg,FAKE,0,AI Generated,Male,18-25,MultiSource,StyleGAN3,Medium,1024x1024,0.91,Hard,train,2026-01-04,v2.0,2026,images/2800.jpg
3530,https://api.dicebear.com/7.x/personas/jpg?seed=user472&size=300,FAKE,0,AI Generated,Unknown,18-25,MultiSource,StyleGAN3,High,1024x1024,0.86,Medium,train,2026-02-25,v2.0,2026,images/3530.jpg
4440,https://api.dicebear.com/7.x/personas/jpg?seed=user1382&size=300,FAKE,0,AI Generated,Unknown,50+,MultiSource,StyleGAN3,Medium,1024x1024,0.88,Hard,train,2026-03-29,v2.0,2026,images/4440.jpg
3859,https://api.dicebear.com/7.x/personas/jpg?seed=user801&size=300,FAKE,0,AI Generated,Unknown,50+,MultiSource,StyleGAN3,High,1024x1024,0.92,Hard,test,2026-04-21,v2.0,2026,images/3859.jpg
2351,https://images.unsplash.com/photo-1726741695246-e71ed81a6a34?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwxMzF8fGFkdWx0JTIwZmFjZSUyMHBob3RvfGVufDB8fHx8MTc3ODA2ODg0MHww&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,36-50,Unsplash,,Medium,1080x1080,0.93,Easy,train,2026-04-19,v2.0,2026,images/2351.jpg
32,https://images.unsplash.com/photo-1755182592821-ebe9c68bd208?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NDQwMTV8MHwxfHNlYXJjaHwzMnx8aHVtYW4lMjBmYWNlJTIwcG9ydHJhaXR8ZW58MHx8fHwxNzc4MDY0NzA2fDA&ixlib=rb-4.1.0&q=80&w=1080,REAL,1,Authentic,Male,18-25,Unsplash,,High,1080x1080,0.96,Easy,train,2026-01-04,v2.0,2026,images/32.jpg
3009,https://i.pravatar.cc/300?img=21,FAKE,0,AI Generated,Unknown,18-25,MultiSource,StyleGAN3,Medium,1024x1024,0.8,Hard,train,2026-04-03,v2.0,2026,images/3009.jpg
